# Product ID to URL Mapping
# Total: 2560 products
# Format: ID|URL

16476|https://www.meblepumo.pl/pl/products/fotel-wypoczynkowy-welurowy-bezowy-gryf-16476
16477|https://www.meblepumo.pl/pl/products/fotel-wypoczynkowy-welurowy-czarny-gryf-16477
16478|https://www.meblepumo.pl/pl/products/fotel-wypoczynkowy-welurowy-czerwony-gryf-16478
16479|https://www.meblepumo.pl/pl/products/fotel-wypoczynkowy-welurowy-fioletowy-gryf-16479
16480|https://www.meblepumo.pl/pl/products/fotel-wypoczynkowy-welurowy-turkusowy-gryf-16480
16481|https://www.meblepumo.pl/pl/products/fotel-wypoczynkowy-welurowy-zielony-gryf-16481
16482|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-bezowa-gryf-16482
16483|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-czarna-gryf-16483
16484|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-bordowa-gryf-16484
16485|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-fioletowa-gryf-16485
16486|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-turkusowa-gryf-16486
16487|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-zielona-gryf-16487
16488|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-miodowa-gryf-16488
16489|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-bezowa-gryf-16489
16490|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-czarna-gryf-16490
16491|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-bordowa-gryf-16491
16492|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-fioletowa-gryf-16492
16493|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-turkusowa-gryf-16493
16494|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-zielona-gryf-16494
16495|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-miodowa-gryf-16495
16503|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-rozowa-sampras-16503
16504|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-bezowa-sampras-16504
16505|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-jasnozielona-sampras-16505
16506|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-zielona-sampras-16506
16507|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-szara-sampras-16507
16509|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-rozowa-sampras-16509
16510|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-bezowa-sampras-16510
16511|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-zielona-sampras-16511
16512|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-ciemnozielona-sampras-16512
16513|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-szara-sampras-16513
16514|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-cappuccino-sampras-16514
16515|https://www.meblepumo.pl/pl/products/naroznik-3-osobowy-lewostronny-tapicerowany-bezowy-sampras-16515
16516|https://www.meblepumo.pl/pl/products/naroznik-3-osobowy-prawostronny-tapicerowany-bezowy-sampras-16516
16743|https://www.meblepumo.pl/pl/products/witryna-dwudrzwiowa-z-szufladami-biala-mat-polysk-80-x-192-cm-simple-16743
16746|https://www.meblepumo.pl/pl/products/witryna-dwudrzwiowa-z-szufladami-czarna-mat-polysk-80-x-192-cm-simple-16746
16748|https://www.meblepumo.pl/pl/products/komoda-z-drzwiami-biala-mat-wysoki-polysk-120-cm-simple-16748
16751|https://www.meblepumo.pl/pl/products/komoda-z-drzwiami-czarna-mat-wysoki-polysk-120-cm-simple-16751
16761|https://www.meblepumo.pl/pl/products/stelaz-do-lozka-140x200-cm-natura-nv-16761
16794|https://www.meblepumo.pl/pl/products/led-klejony-czerwony-zasilacz-high-gloss-furniture-16794
16795|https://www.meblepumo.pl/pl/products/led-klejony-bialy-zimny-zasilacz-high-gloss-furniture-16795
16796|https://www.meblepumo.pl/pl/products/led-klejony-zielony-zasilacz-high-gloss-furniture-16796
16837|https://www.meblepumo.pl/pl/products/szafka-rtv-biala-dab-sonoma-mat-140-cm-livorno-16837
16838|https://www.meblepumo.pl/pl/products/szafka-rtv-biala-dab-sonoma-mat-160-cm-livorno-16838
16840|https://www.meblepumo.pl/pl/products/szafka-rtv-biala-dab-sonoma-mat-180-cm-livorno-16840
16842|https://www.meblepumo.pl/pl/products/komoda-z-drzwiami-biala-dab-sonoma-mat-150-cm-livorno-16842
16848|https://www.meblepumo.pl/pl/products/komplet-nog-do-biurka-bialy-mat-5-cm-prima-16848
16935|https://www.meblepumo.pl/pl/products/zestaw-szuflad-pod-lozko-bialy-99x67x18-cm-naia-16935
16939|https://www.meblepumo.pl/pl/products/zaglowek-do-lozka-bialy-140x190-cm-naia-16939
16950|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-grafitowa-lily-16950
16953|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-granatowa-lily-16953
16954|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-czerwona-lily-16954
16955|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-zolta-lily-16955
16956|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-turkusowa-lily-16956
16958|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-welurowy-bezowy-lily-16958
16959|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-welurowy-czerwony-lily-16959
16960|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-welurowy-czerwony-lily-16960
16961|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-welurowy-fioletowy-lily-16961
16962|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-welurowy-fioletowy-lily-16962
16963|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-turkusowy-lily-16963
16964|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-morski-lily-16964
16965|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-zielony-lily-16965
16966|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-zielony-lily-16966
16967|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-zolty-lily-16967
16968|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-zolty-lily-16968
16972|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-bezowy-lily-16972
16973|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-bezowy-lily-16973
16981|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-czerwony-lily-16981
16982|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-czerwony-lily-16982
16983|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-fioletowy-lily-16983
16984|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-fioletowy-lily-16984
16985|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-grafitowy-lily-16985
16986|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-grafitowy-lily-16986
16987|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-granatowy-lily-16987
16988|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-granatowy-lily-16988
16989|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-szary-lily-16989
16990|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-szary-lily-16990
16991|https://www.meblepumo.pl/pl/products/szezlong-prawostronny-tapicerowany-oliwkowy-lily-16991
16992|https://www.meblepumo.pl/pl/products/szezlong-lewostronny-tapicerowany-oliwkowy-lily-16992
17013|https://www.meblepumo.pl/pl/products/sofa-tapicerowana-leya-3-osobowa-zolta-nozki-wenge-17013
17014|https://www.meblepumo.pl/pl/products/sofa-tapicerowana-leya-3-osobowa-grafitowa-nozki-wenge-17014
17015|https://www.meblepumo.pl/pl/products/sofa-tapicerowana-leya-3-osobowa-turkusowa-nozki-wenge-17015
17016|https://www.meblepumo.pl/pl/products/sofa-tapicerowana-leya-3-osobowa-zielona-nozki-wenge-17016
17043|https://www.meblepumo.pl/pl/products/szafka-rtv-biala-czarna-mat-117-cm-oslo-17043
17048|https://www.meblepumo.pl/pl/products/stolik-kawowy-z-szufladami-buk-mat-115-x-70-cm-ramzey-17048
17050|https://www.meblepumo.pl/pl/products/zestaw-3-stolikow-kawowych-drewnianych-dab-dziki-mat-60-x-60-cm-60-x-60-cm-80-x-80-cm-kamila-17050
17195|https://www.meblepumo.pl/pl/products/stol-rozkladany-bialy-wysoki-polysk-137-185-x-90-cm-sorelle-17195
17203|https://www.meblepumo.pl/pl/products/szafka-rtv-biala-polysk-140-cm-basic-17203
17206|https://www.meblepumo.pl/pl/products/szafka-rtv-biala-polysk-181-cm-basic-17206
17209|https://www.meblepumo.pl/pl/products/komoda-wysoka-z-drzwiami-biala-wysoki-polysk-102-cm-basic-17209
17214|https://www.meblepumo.pl/pl/products/witryna-czterodrzwiowa-biala-wysoki-polysk-102-cm-basic-17214
17217|https://www.meblepumo.pl/pl/products/komoda-z-szufladami-i-drzwiami-biala-wysoki-polysk-210-cm-basic-17217
17219|https://www.meblepumo.pl/pl/products/witryna-dwudrzwiowa-biala-polysk-61-x-162-cm-basic-17219
17222|https://www.meblepumo.pl/pl/products/oswietlenie-led-rgb-zmienne-pilotem-17222
17233|https://www.meblepumo.pl/pl/products/biurko-proste-biale-mat-140-cm-penno-17233
17281|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-oliwkowa-lily-17281
17288|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-z-funkcja-spania-tapicerowana-zielona-derry-17288
17291|https://www.meblepumo.pl/pl/products/polka-wiszaca-szara-mat-90-x-18-cm-joker-17291
17305|https://www.meblepumo.pl/pl/products/uchwyty-do-polki-metalowe-szare-2-5-cm-joker-17305
17306|https://www.meblepumo.pl/pl/products/uchwyty-do-polki-metalowe-biale-2-5-cm-joker-17306
17336|https://www.meblepumo.pl/pl/products/uchwyty-do-polki-metalowe-pomaranczowe-28-cm-biblo280-17336
17337|https://www.meblepumo.pl/pl/products/uchwyty-do-polki-metalowe-zielone-28-cm-biblo280-17337
17415|https://www.meblepumo.pl/pl/products/biurko-z-szufladami-biale-mat-126-cm-function-17415
17424|https://www.meblepumo.pl/pl/products/biurko-z-szuflada-biale-szare-mat-75-cm-function-17424
17428|https://www.meblepumo.pl/pl/products/biurko-z-regalem-dab-sonoma-biale-mat-163-cm-function-plus-17428
17430|https://www.meblepumo.pl/pl/products/biurko-z-szufladami-dab-sonoma-biale-mat-120-cm-function-17430
17438|https://www.meblepumo.pl/pl/products/biurko-z-szufladami-biale-mat-110-cm-function-17438
17439|https://www.meblepumo.pl/pl/products/biurko-z-szufladami-dab-sonoma-mat-110-cm-function-17439
17441|https://www.meblepumo.pl/pl/products/biurko-z-szufladami-dab-sonoma-mat-110-cm-function-17441
17501|https://www.meblepumo.pl/pl/products/biurko-z-szufladami-dab-sonoma-mat-120-cm-function-17501
17502|https://www.meblepumo.pl/pl/products/stol-drewniany-dab-lity-bassano-mat-180-x-100-cm-zamek-17502
17503|https://www.meblepumo.pl/pl/products/stol-drewniany-dab-lity-bassano-mat-200-x-100-cm-zamek-17503
17504|https://www.meblepumo.pl/pl/products/stol-drewniany-dab-lity-bassano-mat-220-x-100-cm-zamek-17504
17505|https://www.meblepumo.pl/pl/products/stol-drewniany-dab-lity-bassano-mat-260-x-100-cm-zamek-17505
17508|https://www.meblepumo.pl/pl/products/stol-drewniany-dab-dziki-mat-180-x-100-cm-zamek-17508
17509|https://www.meblepumo.pl/pl/products/stol-drewniany-dab-dziki-mat-200-x-100-cm-zamek-17509
17510|https://www.meblepumo.pl/pl/products/stol-drewniany-dab-dziki-mat-220-x-100-cm-zamek-17510
17511|https://www.meblepumo.pl/pl/products/stol-drewniany-dab-dziki-mat-260-x-100-cm-zamek-17511
17665|https://www.meblepumo.pl/pl/products/szafka-rtv-biala-dab-mat-169-cm-malmo-17665
17669|https://www.meblepumo.pl/pl/products/sekretarzyk-z-szuflada-i-drzwiami-bialy-mat-97-cm-malmo-17669
